n_tables,rep,dp_cost,dp_time,greedy_cost,greedy_time,mcts_cost,mcts_time,greedy_ratio,mcts_ratio
10,0,4.93625735683721e+21,0.10216459999992367,1.9528024894769546e+24,0.00033830000029411167,4.93625735683721e+21,0.19529000000011365,395.60386509672713,1.0
10,1,5.483389731317538e+18,0.11723970000002737,8.242256375464742e+20,0.00034760000016831327,5.483389886395706e+18,0.21425640000006752,150.31315991256943,1.000000028281442
10,2,4.012711148648409e+19,0.11318729999993593,1.449462812466124e+23,0.0003609999998843705,4.012711304250655e+19,0.18693349999966813,3612.178297344784,1.0000000387773353
10,3,1.769307462669759e+18,0.05627820000017891,6.427598061297451e+19,0.0002899999999499414,1.769307462669759e+18,0.1604747999999745,36.32832730835071,1.0
10,4,3.405321840098199e+23,0.13058159999991403,3.635943874687748e+26,0.00034879999975601095,3.889450997195668e+23,0.1934095999999954,1067.7240053712217,1.1421683998841965
10,5,1.5325402376941578e+20,0.08815039999990404,1.5939357868371048e+24,0.0003171999996993691,1.5325403338889763e+20,0.17609640000000581,10400.612966843351,1.0000000627682173
10,6,3.0737414901251585e+20,0.05432490000021062,1.7924195137445434e+21,0.0002843000002030749,3.0737414901262307e+20,0.15175330000010945,5.831393171816666,1.0000000000003488
10,7,4.893757493036715e+19,0.12573470000006637,7.249754328819185e+21,0.00034540000024207984,4.893757630375866e+19,0.19763530000000173,148.14290121925325,1.0000000280641514
10,8,8.584598211477104e+16,0.12192929999991975,1.3591137814487305e+20,0.00033279999979640706,8.584598211477104e+16,0.1870848999997179,1583.2002243642285,1.0
10,9,5.86549787446343e+17,0.11262490000035541,1.4805313790169802e+20,0.0003494000002319808,5.86549787446343e+17,0.19681400000035865,252.41359057732464,1.0
12,0,3.9242921881811234e+23,0.5306348999997681,9.834306238170737e+28,0.000476899999739544,3.9242921920090117e+23,0.2935989000002337,250600.7648408274,1.000000000975434
12,1,3.468601336466446e+21,1.2538369000003513,2.241191864163939e+25,0.0005406999998740503,3.4686013369911125e+21,0.3585195000000567,6461.37058358831,1.0000000001512617
12,2,4.015401126651531e+23,0.9155707999998413,8.831996382940325e+25,0.0005236000001787033,4.015401127020603e+23,0.3395503000001554,219.95302846132796,1.000000000091914
12,3,4.6420815546534734e+24,0.9098937999997361,7.320398646572002e+30,0.0005310999999892374,4.6420815547643324e+24,0.3425007999999252,1576964.6785359983,1.0000000000238813
12,4,7.38531028005807e+23,1.1195677999999134,4.0145312608490596e+27,0.0005523999998331419,8.315356749452903e+23,0.35109319999992294,5435.83290154939,1.1259319424813008
12,5,6.601581167665519e+19,1.3503540000001522,2.0975296550266948e+21,0.0005734999999731372,6.601582843164616e+19,0.35962160000008225,31.77314043036197,1.000000253802696
12,6,1.0585310469697336e+22,1.006138700000065,8.170936771362166e+25,0.0005270999999993364,1.0585310472062533e+22,0.34307540000008885,7719.128120760539,1.0000000002234415
12,7,5.701524146602319e+24,0.8958639999996194,5.196107469536305e+28,0.000515599999744154,5.701747721508362e+24,0.34047559999999066,9113.541109236194,1.0000392131823517
12,8,1.1087287738235872e+25,1.35760479999999,8.317545320579516e+27,0.0005503000002136105,5.002629189405802e+25,0.3634590000001481,750.1875586664393,4.512040552671526
12,9,3.2687007876918664e+25,0.9066963000000214,3.858028329028133e+30,0.0005502999997588631,4.5738057980067585e+25,0.33940530000018043,118029.41228378416,1.399273318386682
14,0,1.1894345641763544e+25,13.330467300000237,2.0049191325501796e+31,0.0008275000000139698,3.523132820581878e+25,0.585981300000185,1685606.9202415706,2.9620232391863737
14,1,2.5131931967704045e+24,10.63894130000017,4.117088847180912e+28,0.0008104000003186229,4.003120546479083e+24,0.5496679999996559,16381.90351808848,1.5928423455957623
14,2,2.2533212883813504e+25,9.169666199999938,1.7777107394770829e+28,0.0007771000000502681,2.253321288859308e+25,0.53633949999994,788.9291015193322,1.0000000002121125
14,3,8.367733268703786e+21,11.055731599999945,9.959503219572511e+22,0.0008133000001180335,8.367733420828551e+21,0.5741778999999951,11.902271379540878,1.0000000181799251
14,4,2.892651375596245e+26,5.612251000000015,2.273501280533789e+29,0.0007080000000314612,2.8926513755962567e+26,0.4900676000002022,785.9575819312709,1.000000000000004
14,5,4.989814181381584e+24,14.33417260000033,3.5169225759483774e+30,0.0008558999998058425,4.989814183974157e+24,0.5870334999999614,704820.349637671,1.000000000519573
14,6,5.811566341281695e+24,9.670925299999908,3.228175288836482e+29,0.0007880999996814353,5.81156634199104e+24,0.5492755999998735,55547.42214513778,1.0000000001220575
14,7,2.5354466425472866e+22,8.97968469999978,8.378150443332158e+26,0.0007752999999866006,2.535446642547639e+22,0.529856799999834,33044.08108117347,1.000000000000139
14,8,1.8620058053981755e+22,12.175535800000034,3.73240397774587e+24,0.0008208999997805222,1.862005870583451e+22,0.5629762000003211,200.45071647602757,1.0000000350080946
14,9,1.3801225301007893e+27,11.206595899999684,7.805198479745286e+28,0.0008066999998845858,2.9488385006674464e+27,0.5638264000003801,56.554387813488404,2.136649780256899
